Source,1,2,3,4,5,6
160605567,1132007929,,,,,
160608978,160612439,395120542,,,,
160608993,924520262,904402346,904669307,,,
160608995,904639943,904639956,904402346,,,
160608998,1401208081,160608999,904639957,,,
160608999,904639942,925228121,160608998,,,
160609000,904409662,925228121,,,,
160609003,1684928226,904639953,,,,
160609004,160609006,1684928226,,,,
160609006,1684928273,160609004,,,,
160609008,160609011,5985669368,,,,
160609011,160605566,160609008,,,,
160612073,1464015783,,,,,
160612439,160608978,395120532,,,,
160614842,160614843,1464015792,3271620395,,,
160614843,4674931199,160614842,,,,
160614851,160614852,6553880060,,,,
160614852,160614851,6553880057,,,,
160614866,1543536169,2277760553,,,,
160614867,2277760552,3350971960,,,,
160614868,1421648081,2277760552,,,,
160614870,2277760544,2277760550,,,,
160616041,2246131034,,,,,
160616042,922931480,,,,,
160616044,922931457,,,,,
160616045,160616044,,,,,
160616047,922931475,,,,,
160616048,922931449,,,,,
160616049,2246131036,922931455,,,,
160616051,922931476,,,,,
160616376,160616051,,,,,
160623595,3649265767,,,,,
160625962,4294053396,160625963,,,,
160625963,1261957647,160625962,,,,
160625964,1191271476,1261957647,904614616,,,
160625966,904614606,391362949,,,,
160625967,3100035164,2969825994,2017214312,,,
160625968,1465938716,1191271493,,,,
160625969,2017188511,1465938716,,,,
160625971,2017188448,269303950,,,,
212122784,3549024917,1191271508,,,,
212123593,212123608,,,,,
212123596,3549024915,,,,,
212123597,829887172,,,,,
212123600,829887195,3598852894,2310891767,,,
212123603,212123600,,,,,
212123606,213707903,,,,,
212123608,829887182,,,,,
212123950,907633722,907695011,907633683,,,
212123953,212123597,,,,,
212125924,1466672242,4294053396,,,,
212125926,212125929,1466672242,960027959,,,
212125929,4294053395,212125926,,,,
212125931,960027822,4294053394,,,,
212125933,960028042,212125934,,,,
212125934,960027602,212125933,,,,
212125935,2373211563,960027727,,,,
212125938,959060122,3777625085,,,,
212125940,212125942,960028024,,,,
212125942,2373205242,212125940,,,,
212125947,212125949,2373205237,,,,
212125949,2373205220,212125947,,,,
212125951,2373205208,2373205209,,,,
212125953,959059763,2373205205,,,,
212125954,960028073,959059763,,,,
212125956,2373205223,764851861,,,,
212125957,960027945,2373205223,,,,
212125958,960027873,960027640,,,,
212125961,1015920352,960027873,,,,
212125962,2373205198,1015920352,,,,
212125966,694180151,694180146,907694846,,,
213706056,1048629733,1204234865,1576449275,,,
213707347,212123603,1125023227,,,,
213707903,829887177,1125023238,,,,
213709540,213709541,608071969,,,,
213709541,1576449262,213709540,,,,
213710291,3549113467,608046658,599538652,,,
213710294,608060400,3549140493,1203022530,,,
213711832,1205616861,1049849214,,,,
213711834,1205616820,2340999871,,,,
213711837,269439608,616777946,,,,
213711841,1125190800,,,,,
213711843,2521558819,1276924806,,,,
213711845,914041046,,,,,
213711847,1276924828,,,,,
213711849,914040492,,,,,
213711850,914040490,,,,,
213714210,1853581172,1061262218,1804396007,,,
213715533,1804395991,1804395993,,,,
213716982,874627071,2989092322,,,,
213716985,910517539,874627071,,,,
213716987,3894188438,274257343,1824710226,,,
213717762,910516067,1833534080,,,,
213717763,910516391,910516067,,,,
213717765,1419796527,910516391,,,,
213717767,2230624278,910517512,,,,
213717768,2230624279,2230624278,,,,
213717769,266029447,2989092322,7072517296,,,
213719586,1562495492,,,,,
213719589,874847660,,,,,
213719591,1562495494,1313611070,,,,
213719593,213719591,,,,,
213719594,2944506756,,,,,
213719703,2944506755,,,,,
213720549,281814837,,,,,
213722468,2944174074,75699411,,,,
213723764,903972871,,,,,
263508234,860711857,3437405806,2944506743,,,
263508236,3127084282,3127084328,3127084256,,,
263508237,1688833106,,,,,
263508239,1824709582,2213576288,,,,
266026768,1180421875,,,,,
266026771,288756296,,,,,
266026773,411273224,,,,,
266026774,3894188411,,,,,
266026777,837157187,1447818274,,,,
266026780,1194002922,1447818295,,,,
266026782,281397679,,,,,
266026784,266026782,748798855,,,,
266027054,2637620266,,,,,
266027354,914041052,,,,,
266027355,914041047,,,,,
266027462,2339676529,1048629642,1048629690,,,
266027467,2277745439,1804396009,,,,
266027560,1470683932,,,,,
266029447,266029449,213717769,,,,
266029449,1313610831,266029447,,,,
266029450,1427662000,1313610989,,,,
266029452,5985669377,1427924556,,,,
266029453,2057736255,6515364334,,,,
266029454,4675179938,1427743160,,,,
266029456,2944506765,1109675757,,,,
266029462,1686036156,,,,,
266029466,885766791,,,,,
266029474,5808172510,,,,,
266029726,3350978792,,,,,
266029727,266029728,,,,,
266029728,1084595619,,,,,
266029729,266029730,,,,,
266029730,1827851236,,,,,
266029732,1084596269,,,,,
266029733,881718257,,,,,
266029734,7160674074,,,,,
266029735,5111482229,,,,,
266029737,2944174046,,,,,
